tahun 2019,tahun 2020,tahun 2021,tahun 2022
15800,32050,41900,19500
14900,30700,40550,18200
13250,30950,45000,19300
14950,31300,30050,19600
16600,36200,42000,22100
15050,32700,41450,29700
15100,38800,31000,36150
16250,40100,28200,38600
16200,32700,32350,52500
18200,31600,41850,59300
22800,27150,40800,57000
22550,26000,41050,45900
30450,25550,42100,36400
28900,21950,40650,36100
26400,19750,43900,30700
33200,24800,29850,28200
38350,21250,27450,26500
58450,17650,28050,24050
38450,15500,33900,26950
39350,28650,23100,35000
45400,16750,20750,46050
76200,15750,20800,62600
63000,18100,20600,81950
56200,17200,18100,87200
67900,21050,19200,90550
60700,18600,22450,89900
69250,17200,34750,80900
69000,23500,32600,84200
57650,24300,35600,84700
55600,34700,27600,96800
68300,27350,28850,76600
76850,24350,26950,67750
83600,24800,33350,88200
75900,22600,26950,90200
57700,22050,28700,82900
44350,25900,28650,49500
38350,29400,26950,50100
40550,27700,28900,36250
44150,32550,31200,39500
47900,42600,38550,44100
39350,37600,25800,29100
31400,29250,31000,26900
36100,39900,46050,27350
34000,34100,40000,21900
35900,38000,45500,27600
33550,39000,37000,26400
24000,40050,28900,25700
23400,43650,27150,37800
26550,40700,27350,38300
28800,40750,27700,37300
30600,58250,27900,30150
30400,51150,21500,28000
